product_name,product_slug,kind,role,filename,relative_path,title,alt,attach,source_url
Ceramic-EVOMAX,ceramic-evomax,cartridge,gallery-01,ceramic-evomax-justccell-cartridge-gallery-01.png,upload/ceramic-evomax-justccell-cartridge-gallery-01.png,Ceramic-EVOMAX - Justccell - Cartridge - Gallery 01,Ceramic-EVOMAX - Justccell - Cartridge - Gallery 01,ACF Thumbnail gallery,https://justccell.com/wp-content/uploads/2026/09/justccell-ceramic-evomax-product-gallery-01.png
Ceramic-EVOMAX,ceramic-evomax,cartridge,evomax,ceramic-evomax-justccell-cartridge-evomax.jpg,upload/ceramic-evomax-justccell-cartridge-evomax.jpg,Ceramic-EVOMAX - Justccell - Cartridge - EVOMAX,Ceramic-EVOMAX - Justccell - Cartridge - EVOMAX,ACF EVOMAX background,https://justccell.com/wp-content/uploads/2026/09/justccell-m3-plus-evomax-background.jpg
Voca Max,voca-max,vape,featured,voca-max-justccell-vape-featured.png,upload/voca-max-justccell-vape-featured.png,Voca Max - Justccell - Vape,Voca Max - Justccell - Vape,Woo Product image + ACF listing card image,https://justccell.com/wp-content/uploads/2026/09/justccell-voca-max-featured-image.png
Voca Max,voca-max,vape,evomax,voca-max-justccell-vape-evomax.jpg,upload/voca-max-justccell-vape-evomax.jpg,Voca Max - Justccell - Vape - EVOMAX,Voca Max - Justccell - Vape - EVOMAX,ACF EVOMAX background,https://justccell.com/wp-content/uploads/2026/09/justccell-m3-plus-evomax-background.jpg
Voca Pro Max,voca-pro-max,vape,featured,voca-pro-max-justccell-vape-featured.png,upload/voca-pro-max-justccell-vape-featured.png,Voca Pro Max - Justccell - Vape,Voca Pro Max - Justccell - Vape,Woo Product image + ACF listing card image,https://justccell.com/wp-content/uploads/2026/09/justccell-voca-pro-max-featured-image.png
Voca Pro Max,voca-pro-max,vape,evomax,voca-pro-max-justccell-vape-evomax.jpg,upload/voca-pro-max-justccell-vape-evomax.jpg,Voca Pro Max - Justccell - Vape - EVOMAX,Voca Pro Max - Justccell - Vape - EVOMAX,ACF EVOMAX background,https://justccell.com/wp-content/uploads/2026/09/justccell-m3-plus-evomax-background.jpg
Vision Box,vision-box,vape,featured,vision-box-justccell-vape-featured.png,upload/vision-box-justccell-vape-featured.png,Vision Box - Justccell - Vape,Vision Box - Justccell - Vape,Woo Product image + ACF listing card image,https://justccell.com/wp-content/uploads/2026/09/justccell-vision-box-featured-image.png
Vision Box,vision-box,vape,evomax,vision-box-justccell-vape-evomax.jpg,upload/vision-box-justccell-vape-evomax.jpg,Vision Box - Justccell - Vape - EVOMAX,Vision Box - Justccell - Vape - EVOMAX,ACF EVOMAX background,https://justccell.com/wp-content/uploads/2026/09/justccell-m3-plus-evomax-background.jpg
Eco Star,eco-star,vape,featured,eco-star-justccell-vape-featured.png,upload/eco-star-justccell-vape-featured.png,Eco Star - Justccell - Vape,Eco Star - Justccell - Vape,Woo Product image + ACF listing card image,https://justccell.com/wp-content/uploads/2026/09/justccell-eco-star-featured-image.png
Eco Star,eco-star,vape,gallery-01,eco-star-justccell-vape-gallery-01.png,upload/eco-star-justccell-vape-gallery-01.png,Eco Star - Justccell - Vape - Gallery 01,Eco Star - Justccell - Vape - Gallery 01,ACF Thumbnail gallery,https://justccell.com/wp-content/uploads/2026/09/justccell-eco-star-product-gallery-01.png
Eco Star,eco-star,vape,evomax,eco-star-justccell-vape-evomax.jpg,upload/eco-star-justccell-vape-evomax.jpg,Eco Star - Justccell - Vape - EVOMAX,Eco Star - Justccell - Vape - EVOMAX,ACF EVOMAX background,https://justccell.com/wp-content/uploads/2026/09/justccell-m3-plus-evomax-background.jpg
Tank,tank,vape,featured,tank-justccell-vape-featured.png,upload/tank-justccell-vape-featured.png,Tank - Justccell - Vape,Tank - Justccell - Vape,Woo Product image + ACF listing card image,https://justccell.com/wp-content/uploads/2026/09/justccell-tank-featured-image.png
Tank,tank,vape,banner,tank-justccell-vape-banner.jpg,upload/tank-justccell-vape-banner.jpg,Tank - Justccell - Vape - Banner,Tank - Justccell - Vape - Banner,ACF Banner image,https://justccell.com/wp-content/uploads/2026/09/justccell-tank-product-banner.jpg
Tank,tank,vape,gallery-01,tank-justccell-vape-gallery-01.png,upload/tank-justccell-vape-gallery-01.png,Tank - Justccell - Vape - Gallery 01,Tank - Justccell - Vape - Gallery 01,ACF Thumbnail gallery,https://justccell.com/wp-content/uploads/2026/09/justccell-tank-product-gallery-08.png
Tank,tank,vape,gallery-02,tank-justccell-vape-gallery-02.png,upload/tank-justccell-vape-gallery-02.png,Tank - Justccell - Vape - Gallery 02,Tank - Justccell - Vape - Gallery 02,ACF Thumbnail gallery,https://justccell.com/wp-content/uploads/2026/08/justccell-tank-gallery-2.png
Tank,tank,vape,gallery-03,tank-justccell-vape-gallery-03.jpg,upload/tank-justccell-vape-gallery-03.jpg,Tank - Justccell - Vape - Gallery 03,Tank - Justccell - Vape - Gallery 03,ACF Thumbnail gallery,https://justccell.com/wp-content/uploads/2026/09/justccell-tank-spin-32.jpg
Tank,tank,vape,360-02,tank-justccell-vape-360-02.jpg,upload/tank-justccell-vape-360-02.jpg,Tank - Justccell - Vape - 360 02,Tank - Justccell - Vape - 360 02,ACF 360 spin frames,https://justccell.com/wp-content/uploads/2026/08/tank-360-01.jpg
Tank,tank,vape,360-03,tank-justccell-vape-360-03.jpg,upload/tank-justccell-vape-360-03.jpg,Tank - Justccell - Vape - 360 03,Tank - Justccell - Vape - 360 03,ACF 360 spin frames,https://justccell.com/wp-content/uploads/2026/08/tank-360-02.jpg
Tank,tank,vape,360-04,tank-justccell-vape-360-04.jpg,upload/tank-justccell-vape-360-04.jpg,Tank - Justccell - Vape - 360 04,Tank - Justccell - Vape - 360 04,ACF 360 spin frames,https://justccell.com/wp-content/uploads/2026/08/tank-360-03.jpg
